CustomerID,Lookalikes
C0001,"[('C0052', 0.8679842282479358), ('C0126', 0.8581977507838431), ('C0191', 0.8568463555004938)]"
C0002,"[('C0043', 0.7676650136553883), ('C0159', 0.7132664624125221), ('C0128', 0.6913167924440262)]"
C0003,"[('C0190', 0.9054365022260268), ('C0031', 0.8935844180323499), ('C0181', 0.8760160505988458)]"
C0004,"[('C0102', 0.8732227081784946), ('C0104', 0.8689311371066696), ('C0155', 0.8353139514805824)]"
C0005,"[('C0159', 0.7723744801682234), ('C0177', 0.691833112910386), ('C0043', 0.6783410676220802)]"
C0006,"[('C0148', 0.8525331055354749), ('C0079', 0.830233642262665), ('C0163', 0.8176917742644488)]"
C0007,"[('C0080', 0.7396840079118119), ('C0110', 0.7220232473165386), ('C0089', 0.6994023910034383)]"
C0008,"[('C0147', 0.8473193946335654), ('C0098', 0.8315747413371052), ('C0049', 0.820582671415536)]"
C0009,"[('C0132', 0.797631569387823), ('C0198', 0.7934797057139923), ('C0199', 0.7489048150310311)]"
C0010,"[('C0025', 0.8181363294892364), ('C0033', 0.7755378928558512), ('C0038', 0.7399111166906945)]"
C0011,"[('C0048', 0.9083810917332507), ('C0174', 0.8729621379558811), ('C0171', 0.8600025022298963)]"
C0012,"[('C0046', 0.8917783327479163), ('C0163', 0.8784030485042084), ('C0082', 0.8242186160043588)]"
C0013,"[('C0188', 0.8759880766432858), ('C0096', 0.857238193912525), ('C0122', 0.8526747936492993)]"
C0014,"[('C0058', 0.8424821933521373), ('C0128', 0.8366877457341722), ('C0033', 0.7825521833764748)]"
C0015,"[('C0131', 0.8612849896365155), ('C0031', 0.8356641370435405), ('C0144', 0.7765438080466156)]"
C0016,"[('C0158', 0.8174774852330532), ('C0190', 0.7889408877261601), ('C0155', 0.7818372432168063)]"
C0017,"[('C0109', 0.8621977198311369), ('C0046', 0.8136752763397904), ('C0012', 0.7849325780523148)]"
C0018,"[('C0170', 0.7783667174261651), ('C0188', 0.7779696434670855), ('C0041', 0.7684430910246722)]"
C0019,"[('C0049', 0.776464183670621), ('C0172', 0.7758433774614082), ('C0094', 0.7654581416717625)]"
C0020,"[('C0095', 0.7673173657506757), ('C0120', 0.7666797925181839), ('C0085', 0.7658531961063886)]"
